,Fecha,llamadas,predicciones
0,2016-11-05,1.0,3.941823710708751
1,2016-11-06,6.0,3.4482158109624157
2,2016-11-07,13.0,12.915613917941922
3,2016-11-08,11.0,13.112852356535779
4,2016-11-09,11.0,11.766844568103428
5,2016-11-10,13.0,11.392009474408429
6,2016-11-11,11.0,12.848378178413967
7,2016-11-12,6.0,7.440425793570455
8,2016-11-13,7.0,6.363717546680503
9,2016-11-14,15.0,13.49871426508554
10,2016-11-15,19.0,14.279053050823014
11,2016-11-16,12.0,16.431647345252365
12,2016-11-17,6.0,11.975109821552046
13,2016-11-18,13.0,8.766675748408646
14,2016-11-19,10.0,8.606626487857689
15,2016-11-20,3.0,8.696118935254972
16,2016-11-21,2.0,11.16631287651107
17,2016-11-22,10.0,6.698748537955989
18,2016-11-23,11.0,11.183744220959811
19,2016-11-24,10.0,11.392009474408429
20,2016-11-25,18.0,11.099077136983116
21,2016-11-26,8.0,11.522128223575775
22,2016-11-27,5.0,7.529918240967737
23,2016-11-28,7.0,12.332513570798305
24,2016-11-29,8.0,9.614250273674076
25,2016-11-30,7.0,10.017543526672577
26,2016-12-01,14.0,8.022792263500271
27,2016-12-02,14.0,12.394662703223897
28,2016-12-03,5.0,8.15291101266762
29,2016-12-04,4.0,4.743801377203196
30,2016-12-05,17.0,10.712597401320998
31,2016-12-06,11.0,14.40843792277656
32,2016-12-07,16.0,10.73002874576974
33,2016-12-08,8.0,13.270695387792827
34,2016-12-09,9.0,8.896060620362192
35,2016-12-10,5.0,5.237409276949531
36,2016-12-11,5.0,4.743801377203196
37,2016-12-12,16.0,11.295697748464617
38,2016-12-13,12.0,13.825337575632943
39,2016-12-14,15.0,11.313129092913357
40,2016-12-15,18.0,12.68759504064921
41,2016-12-16,14.0,14.727064091798365
42,2016-12-18,5.0,9.991704501495754
43,2016-12-19,12.0,11.295697748464617
44,2016-12-20,6.0,11.492936187058474
45,2016-12-21,9.0,7.814527010051654
46,2016-12-22,11.0,9.188992957787505
47,2016-12-23,6.0,10.645361661793045
48,2016-12-24,3.0,3.4881082355186797
49,2016-12-25,4.0,3.577600682915962
50,2016-12-26,13.0,10.712597401320998
51,2016-12-27,12.0,12.07603653420209
52,2016-12-28,10.0,11.313129092913357
53,2016-12-29,11.0,9.772093304931124
54,2016-12-30,8.0,10.645361661793045
55,2017-01-01,1.0,7.321992593795123
56,2017-01-02,12.0,9.792186535051222
57,2017-01-03,12.0,12.321826362219548
58,2017-01-04,8.0,12.142019268074431
59,2017-01-05,14.0,9.434782785804963
60,2017-01-06,10.0,13.223552878384972
61,2017-01-07,5.0,6.6493997992542235
62,2017-01-08,1.0,5.5726915523642715
63,2017-01-09,16.0,9.792186535051222
64,2017-01-10,17.0,14.654227750794018
65,2017-01-11,10.0,15.05752100379252
66,2017-01-12,9.0,10.600983480092198
67,2017-01-13,10.0,10.308051142666883
68,2017-01-14,3.0,6.6493997992542235
69,2017-01-15,4.0,4.406490858077037
70,2017-01-16,12.0,11.541487576482073
71,2017-01-17,18.0,12.321826362219548
72,2017-01-18,19.0,15.640621350936136
73,2017-01-19,12.0,15.848886604384754
74,2017-01-20,11.0,12.057352184097736
75,2017-01-21,5.0,7.232500146397841
76,2017-01-22,5.0,5.5726915523642715
77,2017-01-23,13.0,12.124587923625691
78,2017-01-24,13.0,12.904926709363165
79,2017-01-25,11.0,12.725119615218048
80,2017-01-26,11.0,11.184083827235815
81,2017-01-27,10.0,11.474251836954119
82,2017-01-28,10.0,6.6493997992542235
83,2017-01-29,3.0,8.488193288082357
84,2017-01-30,14.0,10.958387229338456
85,2017-01-31,13.0,13.488027056506784
86,2017-02-01,14.0,14.124667847761543
87,2017-02-02,5.0,14.332933101210163
88,2017-02-03,14.0,9.37519798663591
89,2017-02-04,6.0,10.381349420372189
90,2017-02-05,3.0,7.555340132051384
91,2017-02-06,7.0,12.35793546188195
92,2017-02-07,19.0,10.805872859044957
93,2017-02-08,16.0,17.62326993062325
94,2017-02-09,10.0,15.499133795497396
95,2017-02-10,11.0,12.290699722353999
96,2017-02-11,6.0,8.632048378941338
97,2017-02-12,5.0,7.555340132051384
98,2017-02-13,13.0,13.524136156169188
99,2017-02-14,17.0,14.304474941906662
100,2017-02-15,14.0,16.457069236336014
101,2017-02-16,11.0,14.332933101210163
102,2017-02-17,13.0,12.873800069497616
103,2017-02-18,8.0,9.798249073228572
104,2017-02-19,6.0,8.721540826338618
105,2017-02-20,21.0,14.107236503312805
106,2017-02-21,18.0,18.9692777190556
107,2017-02-22,12.0,17.04016958347963
108,2017-02-23,13.0,13.166732406922929
109,2017-02-24,13.0,14.04000076378485
110,2017-02-25,2.0,9.798249073228572
111,2017-02-26,4.0,5.222938743476915
112,2017-02-27,13.0,12.941035809025568
113,2017-02-28,21.0,14.304474941906662
114,2017-03-01,12.0,20.736219039864963
115,2017-03-02,18.0,15.113480821877406
116,2017-03-03,11.0,18.90225091445741
117,2017-03-04,10.0,10.578796793895815
118,2017-03-05,13.0,11.834489935580333
119,2017-03-06,14.0,20.135687348272604
120,2017-03-07,16.0,16.83432370400476
121,2017-03-08,7.0,17.820717304146875
122,2017-03-09,12.0,12.19797908615932
123,2017-03-10,17.0,15.40364883159571
124,2017-03-11,9.0,14.077398876757519
125,2017-03-12,6.0,11.251389588436714
126,2017-03-13,13.0,16.053984918267282
127,2017-03-14,11.0,16.25122335686114
128,2017-03-15,6.0,14.905215568428789
129,2017-03-16,11.0,11.614878739015703
130,2017-03-17,7.0,14.820548484452093
131,2017-03-18,6.0,8.246395405321346
