,FECHA_ALTA,llamadas,covid,stringency_index,lag1,dia_Friday,dia_Monday,dia_Saturday,dia_Sunday,dia_Thursday,dia_Tuesday,dia_Wednesday,mes_April,mes_August,mes_December,mes_February,mes_January,mes_July,mes_June,mes_March,mes_May,mes_November,mes_October,mes_September,predict_restriccion
40,2016-12-14,15,0,0.0,12.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11.260690890186387
41,2016-12-15,18,0,0.0,15.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.433712822788973
42,2016-12-16,14,0,0.0,18.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.476679039529149
43,2016-12-18,5,0,0.0,14.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.8489681962198
44,2016-12-19,12,0,0.0,5.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.312447470266276
45,2016-12-20,6,0,0.0,12.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11.324816530398744
46,2016-12-21,9,0,0.0,6.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.849362484350213
47,2016-12-22,11,0,0.0,9.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0223844169528
48,2016-12-23,6,0,0.0,11.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.496795899386944
49,2016-12-24,3,0,0.0,6.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.141196237397139
50,2016-12-25,4,0,0.0,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.5948661188534805
51,2016-12-26,13,0,0.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.743892735960248
52,2016-12-27,12,0,0.0,13.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11.893371264704772
53,2016-12-28,10,0,0.0,12.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11.260690890186387
54,2016-12-29,11,0,0.0,10.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.590939151258828
55,2016-12-30,8,0,0.0,11.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.496795899386944
56,2017-01-01,1,0,0.0,8.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.648502720027113
57,2017-01-02,12,0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.249091462685648
58,2017-01-03,12,0,0.0,12.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11.53567946004223
59,2017-01-04,8,0,0.0,12.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11.471553819829873
60,2017-01-05,14,0,0.0,8.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.664692612290256
61,2017-01-06,10,0,0.0,14.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.413323031948519
62,2017-01-07,5,0,0.0,10.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.626278104264743
63,2017-01-08,1,0,0.0,5.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.942838517109026
64,2017-01-09,16,0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.249091462685648
65,2017-01-10,17,0,0.0,16.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13.809898397266346
66,2017-01-11,10,0,0.0,17.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,14.31432749136002
67,2017-01-12,9,0,0.0,10.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.801802080902316
68,2017-01-13,10,0,0.0,9.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.570549360418372
69,2017-01-14,3,0,0.0,10.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.626278104264743
70,2017-01-15,4,0,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.8057290484969677
71,2017-01-16,12,0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.954755665603734
72,2017-01-17,18,0,0.0,12.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11.53567946004223
73,2017-01-18,19,0,0.0,18.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,14.88288222566605
74,2017-01-19,12,0,0.0,19.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.918794689656576
75,2017-01-20,11,0,0.0,12.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.27621356333646
76,2017-01-21,5,0,0.0,11.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.194832838570772
77,2017-01-22,5,0,0.0,5.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.942838517109026
78,2017-01-23,13,0,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.523310399909763
79,2017-01-24,13,0,0.0,13.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12.104234194348258
80,2017-01-25,11,0,0.0,13.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12.040108554135903
81,2017-01-26,11,0,0.0,11.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.370356815208345
82,2017-01-27,10,0,0.0,11.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.70765882903043
83,2017-01-28,10,0,0.0,10.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.626278104264743
84,2017-01-29,3,0,0.0,10.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.785612188639171
85,2017-01-30,14,0,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.386200931297706
86,2017-01-31,13,0,0.0,14.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12.672788928654287
87,2017-02-01,14,0,0.0,13.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13.799478877960572
88,2017-02-02,5,0,0.0,14.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.8353913419511
89,2017-02-03,14,0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.055700747018925
90,2017-02-04,6,0,0.0,14.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.659867365313527
91,2017-02-05,3,0,0.0,6.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.270763575239723
92,2017-02-06,7,0,0.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.145571255122375
93,2017-02-07,19,0,0.0,7.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10.452276112336753
94,2017-02-08,16,0,0.0,19.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,17.210807283796747
95,2017-02-09,10,0,0.0,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.972500810563158
96,2017-02-10,11,0,0.0,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.898474418549071
97,2017-02-11,6,0,0.0,11.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.95420316239544
98,2017-02-12,5,0,0.0,6.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.270763575239723
99,2017-02-13,13,0,0.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.282680723734432
100,2017-02-14,17,0,0.0,13.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13.863604518172927
101,2017-02-15,14,0,0.0,17.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16.073697815184687
102,2017-02-16,11,0,0.0,14.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.8353913419511
103,2017-02-17,13,0,0.0,11.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.4670291528551
104,2017-02-18,8,0,0.0,13.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.091312631007497
105,2017-02-19,6,0,0.0,8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.407873043851781
106,2017-02-20,21,0,0.0,6.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.851235458040462
107,2017-02-21,18,0,0.0,21.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,18.41204239262116
108,2017-02-22,12,0,0.0,18.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16.64225254949072
109,2017-02-23,13,0,0.0,12.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.698281873339042
110,2017-02-24,13,0,0.0,13.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.604138621467158
111,2017-02-25,2,0,0.0,13.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.091312631007497
112,2017-02-26,4,0,0.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.996544638015607
113,2017-02-27,13,0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.714125989428403
114,2017-02-28,21,0,0.0,13.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13.863604518172927
115,2017-03-01,12,0,0.0,21.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,21.931699480670062
116,2017-03-02,18,0,0.0,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.282064601600297
117,2017-03-03,11,0,0.0,18.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.03069502125856
118,2017-03-04,10,0,0.0,11.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.537985890656694
119,2017-03-05,13,0,0.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.128765240725095
120,2017-03-06,14,0,0.0,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.414901326443918
121,2017-03-07,16,0,0.0,14.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18.01594198074021
122,2017-03-08,7,0,0.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,19.088925809139916
123,2017-03-09,12,0,0.0,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.439290930070152
124,2017-03-10,17,0,0.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.619366615422386
125,2017-03-11,9,0,0.0,17.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.94931429649287
126,2017-03-12,6,0,0.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.560210506419066
127,2017-03-13,13,0,0.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.43501818630172
128,2017-03-14,11,0,0.0,13.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.447387246434182
129,2017-03-15,6,0,0.0,11.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16.24615213760977
130,2017-03-16,11,0,0.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.870736195764122
131,2017-03-17,7,0,0.0,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.050811881116353
132,2017-03-18,6,0,0.0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.26376695343258
133,2017-03-19,8,0,0.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.854546303500978
134,2017-03-20,10,0,0.0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.57212765491378
135,2017-03-21,13,0,0.0,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.741723043516094
136,2017-03-22,14,0,0.0,13.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17.38326160622183
137,2017-03-23,11,0,0.0,14.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.419174070212357
138,2017-03-24,10,0,0.0,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.050811881116353
139,2017-03-25,7,0,0.0,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.969431156350666
140,2017-03-26,11,0,0.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.423101037807006
141,2017-03-27,20,0,0.0,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.277791857831865
142,2017-03-28,14,0,0.0,20.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,21.42727038657639
143,2017-03-29,7,0,0.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17.951816340527856
144,2017-03-30,16,0,0.0,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.439290930070152
145,2017-03-31,13,0,0.0,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.8935855526465
146,2017-04-01,4,0,0.0,13.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.17547831698967
147,2017-04-02,3,0,0.0,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.217819792609836
148,2017-04-03,6,0,0.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.229736941104546
149,2017-04-04,13,0,0.0,6.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12.967887064012894
150,2017-04-05,11,0,0.0,13.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16.883644563942745
151,2017-04-06,6,0,0.0,11.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.213892825015185
152,2017-04-07,8,0,0.0,6.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.708421167307126
153,2017-04-08,7,0,0.0,8.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.332704645459524
154,2017-04-09,11,0,0.0,7.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.923483995527922
155,2017-04-10,6,0,0.0,11.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.77817481555278
156,2017-04-11,15,0,0.0,6.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12.967887064012894
157,2017-04-12,18,0,0.0,15.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18.020754032554798
158,2017-04-13,7,0,0.0,18.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.193775965157386
159,2017-04-14,5,0,0.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.276975901613154
160,2017-04-15,11,0,0.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.627040442541436
161,2017-04-16,4,0,0.0,11.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.197702932752039
162,2017-04-17,10,0,0.0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.798291675410574
163,2017-04-18,13,0,0.0,10.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15.24210600123701
164,2017-04-19,18,0,0.0,13.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16.883644563942745
165,2017-04-20,14,0,0.0,18.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.193775965157386
166,2017-04-21,11,0,0.0,14.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.25685904175536
167,2017-04-22,13,0,0.0,11.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.03836884837761
168,2017-04-23,4,0,0.0,13.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.334812401364099
169,2017-04-24,16,0,0.0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.798291675410574
170,2017-04-25,10,0,0.0,16.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,18.653434407073185
171,2017-04-26,11,0,0.0,10.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15.177980361024657
172,2017-04-27,16,0,0.0,11.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.213892825015185
173,2017-04-28,14,0,0.0,16.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.393968510367415
174,2017-04-29,7,0,0.0,14.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.744033051295698
175,2017-04-30,11,0,0.0,7.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.923483995527922
176,2017-05-01,13,0,0.0,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.634880811856217
177,2017-05-02,15,0,0.0,13.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.804476200458536
178,2017-05-03,13,0,0.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14.877460028858238
179,2017-05-04,16,0,0.0,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.207708289930679
180,2017-05-05,13,0,0.0,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.250674506670855
181,2017-05-06,8,0,0.0,13.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.032184313293108
182,2017-05-07,4,0,0.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.34874472613739
183,2017-05-08,11,0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.654997671714012
184,2017-05-09,9,0,0.0,11.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.667366731846478
185,2017-05-10,14,0,0.0,9.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11.466131623022065
186,2017-05-11,8,0,0.0,14.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.776263024236709
187,2017-05-12,10,0,0.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.702236632222622
188,2017-05-13,10,0,0.0,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.326520110375021
189,2017-05-14,18,0,0.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.48585419474945
190,2017-05-15,12,0,0.0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.61476395199842
191,2017-05-16,11,0,0.0,12.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13.235921466152508
192,2017-05-17,18,0,0.0,11.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12.603241091634123
193,2017-05-18,11,0,0.0,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.050481961460825
194,2017-05-19,15,0,0.0,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.407900835140708
195,2017-05-20,10,0,0.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.169293781905164
196,2017-05-21,6,0,0.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.48585419474945
197,2017-05-22,10,0,0.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.79210714032607
198,2017-05-23,8,0,0.0,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.098811997540448
199,2017-05-24,3,0,0.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.897576888716037
200,2017-05-25,12,0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.52216094687039
201,2017-05-26,13,0,0.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.976455569446738
202,2017-05-27,10,0,0.0,13.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.032184313293108
203,2017-05-28,14,0,0.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.48585419474945
204,2017-05-29,22,0,0.0,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.340545014774307
