,FECHA_ALTA,llamadas,0
0,2016-11-05,1,3.941823710708748
1,2016-11-06,6,3.4482158109624153
2,2016-11-07,13,12.915613917941931
3,2016-11-08,11,13.112852356535775
4,2016-11-09,11,11.766844568103425
5,2016-11-10,13,11.392009474408438
6,2016-11-11,11,12.848378178413965
7,2016-11-12,6,7.440425793570453
8,2016-11-13,7,6.363717546680503
9,2016-11-14,15,13.498714265085548
10,2016-11-15,19,14.279053050823011
11,2016-11-16,12,16.431647345252365
12,2016-11-17,6,11.975109821552055
13,2016-11-18,13,8.766675748408641
14,2016-11-19,10,8.606626487857689
15,2016-11-20,3,8.696118935254972
16,2016-11-21,2,11.166312876511078
17,2016-11-22,10,6.698748537955983
18,2016-11-23,11,11.183744220959806
19,2016-11-24,10,11.392009474408438
20,2016-11-25,18,11.09907713698311
21,2016-11-26,8,11.522128223575777
22,2016-11-27,5,7.529918240967738
23,2016-11-28,7,12.332513570798314
24,2016-11-29,8,9.61425027367407
25,2016-11-30,7,10.01754352667257
26,2016-12-01,14,8.022792263500278
27,2016-12-02,14,12.394662703223894
28,2016-12-03,5,8.152911012667618
29,2016-12-04,4,4.743801377203197
30,2016-12-05,17,10.712597401321007
31,2016-12-06,11,14.408437922776557
32,2016-12-07,16,10.730028745769737
33,2016-12-08,8,13.270695387792836
34,2016-12-09,9,8.896060620362189
35,2016-12-10,5,5.237409276949531
36,2016-12-11,5,4.743801377203197
37,2016-12-12,16,11.295697748464626
38,2016-12-13,12,13.82533757563294
39,2016-12-14,15,11.313129092913353
40,2016-12-15,18,12.687595040649219
41,2016-12-16,14,14.727064091798365
42,2016-12-18,5,9.991704501495754
43,2016-12-19,12,11.295697748464626
44,2016-12-20,6,11.49293618705847
45,2016-12-21,9,7.814527010051648
46,2016-12-22,11,9.188992957787514
47,2016-12-23,6,10.645361661793041
48,2016-12-24,3,3.4881082355186783
49,2016-12-25,4,3.5776006829159623
50,2016-12-26,13,10.712597401321007
51,2016-12-27,12,12.076036534202087
52,2016-12-28,10,11.313129092913353
53,2016-12-29,11,9.772093304931131
54,2016-12-30,8,10.645361661793041
55,2017-01-01,1,7.321992593795123
56,2017-01-02,12,9.79218653505123
57,2017-01-03,12,12.321826362219543
58,2017-01-04,8,12.142019268074426
59,2017-01-05,14,9.43478278580497
60,2017-01-06,10,13.223552878384966
61,2017-01-07,5,6.649399799254221
62,2017-01-08,1,5.572691552364271
63,2017-01-09,16,9.79218653505123
64,2017-01-10,17,14.654227750794012
65,2017-01-11,10,15.057521003792512
66,2017-01-12,9,10.600983480092204
67,2017-01-13,10,10.30805114266688
68,2017-01-14,3,6.649399799254221
69,2017-01-15,4,4.406490858077036
70,2017-01-16,12,11.54148757648208
71,2017-01-17,18,12.321826362219543
72,2017-01-18,19,15.640621350936131
73,2017-01-19,12,15.848886604384761
74,2017-01-20,11,12.057352184097732
75,2017-01-21,5,7.232500146397839
76,2017-01-22,5,5.572691552364271
77,2017-01-23,13,12.124587923625699
78,2017-01-24,13,12.90492670936316
79,2017-01-25,11,12.725119615218043
80,2017-01-26,11,11.184083827235822
81,2017-01-27,10,11.474251836954114
82,2017-01-28,10,6.649399799254221
83,2017-01-29,3,8.488193288082357
84,2017-01-30,14,10.958387229338463
85,2017-01-31,13,13.488027056506777
86,2017-02-01,14,14.124667847761545
87,2017-02-02,5,14.332933101210175
88,2017-02-03,14,9.37519798663591
89,2017-02-04,6,10.381349420372192
90,2017-02-05,3,7.5553401320513895
91,2017-02-06,7,12.357935461881965
92,2017-02-07,19,10.805872859044957
93,2017-02-08,16,17.623269930623252
94,2017-02-09,10,15.49913379549741
95,2017-02-10,11,12.290699722353997
96,2017-02-11,6,8.63204837894134
97,2017-02-12,5,7.5553401320513895
98,2017-02-13,13,13.5241361561692
99,2017-02-14,17,14.304474941906662
100,2017-02-15,14,16.457069236336014
101,2017-02-16,11,14.332933101210175
102,2017-02-17,13,12.873800069497616
103,2017-02-18,8,9.798249073228575
104,2017-02-19,6,8.721540826338623
105,2017-02-20,21,14.107236503312818
106,2017-02-21,18,18.9692777190556
107,2017-02-22,12,17.04016958347963
108,2017-02-23,13,13.166732406922941
109,2017-02-24,13,14.040000763784851
110,2017-02-25,2,9.798249073228575
111,2017-02-26,4,5.222938743476919
112,2017-02-27,13,12.941035809025582
113,2017-02-28,21,14.304474941906662
114,2017-03-01,12,20.736219039864963
115,2017-03-02,18,15.113480821877417
116,2017-03-03,11,18.902250914457415
117,2017-03-04,10,10.578796793895815
118,2017-03-05,13,11.834489935580335
119,2017-03-06,14,20.135687348272615
120,2017-03-07,16,16.834323704004753
121,2017-03-08,7,17.820717304146875
122,2017-03-09,12,12.197979086159329
123,2017-03-10,17,15.40364883159571
124,2017-03-11,9,14.07739887675752
125,2017-03-12,6,11.251389588436718
126,2017-03-13,13,16.053984918267293
127,2017-03-14,11,16.25122335686114
128,2017-03-15,6,14.905215568428787
129,2017-03-16,11,11.614878739015712
130,2017-03-17,7,14.820548484452091
131,2017-03-18,6,8.246395405321346
132,2017-03-19,8,9.502088547005865
133,2017-03-20,10,17.220185612554527
134,2017-03-21,13,14.501922315430285
135,2017-03-22,14,16.07141626271602
136,2017-03-23,11,16.27968151616465
137,2017-03-24,10,14.820548484452091
138,2017-03-25,7,9.995696446752198
139,2017-03-26,11,10.085188894149482
140,2017-03-27,20,18.96948665398538
141,2017-03-28,14,20.33292578686646
142,2017-03-29,7,16.654516609859638
143,2017-03-30,16,12.197979086159329
144,2017-03-31,13,17.736050220170178
145,2017-04-01,4,12.10008793001971
